exp_ids,treatment,plant_id,maleid,tactic,female_mating_status,mated,call_number,call_effort,times,mating_latency,male_movement_steps,male_distance,male_vel,femaleid,female_movement_steps,female_distance,female_vel,initial_dist_to_female,initial_dist_to_male,final_dist_to_male
24_4_21_1,single_male,Plant_02,M078,silent,virgin,1,0,0,3,3,0,0,0,F050,0,0,0,0,NA,NA
24_4_21_2,single_male,Plant_02,M088,silent,virgin,0,0,0,47,NA,2,2,0.042553191,F051,0,0,0,3,NA,NA
26_4_21_2,single_male,Plant_02,M088,silent,virgin,0,0,0,47,NA,0,0,0,F053,1,1.414213562,0.03008965,3.16227766,NA,NA
29_4_21_2,single_male,Plant_02,M094,silent,virgin,0,0,0,46,NA,1,1,0.02173913,F057,5,5,0.108695652,3.16227766,NA,NA
8_5_21_1,single_male,Plant_02,M103,silent,virgin,0,0,0,46,NA,0,0,0,F064,2,2,0.043478261,3.16227766,NA,NA
9_5_21_2,single_male,Plant_02,M106,silent,virgin,0,0,0,46,NA,2,2,0.043478261,F066,0,0,0,1.414213562,NA,NA
14_5_21_1,single_male,Plant_02,M107,silent,virgin,0,0,0,46,NA,3,3,0.065217391,F071,11,11,0.239130435,2,NA,NA
25_10_21_2,single_male,Plant_04,M217,silent,virgin,0,0,0,8,NA,0,0,0,F147,0,0,0,3.16227766,NA,NA
27_10_21_2,single_male,Plant_04,M172,silent,virgin,0,0,0,6,NA,0,0,0,F154,0,0,0,2.236067977,NA,NA
27_10_21_3,single_male,Plant_04,M170,silent,virgin,0,0,0,9,NA,0,0,0,F155,0,0,0,1,NA,NA
29_10_21_1,single_male,Plant_04,M210,silent,virgin,0,0,0,5,NA,0,0,0,F160,0,0,0,1,NA,NA
29_10_21_2,single_male,Plant_04,M207,silent,virgin,0,0,0,3,NA,1,1.414213562,0.471404521,F162,1,1.414213562,0.471404521,2.236067977,NA,NA
1_11_21_1,single_male,Plant_04,M193,silent,virgin,1,0,0,3,3,0,0,0,F174,1,1.414213562,0.471404521,1.414213562,NA,NA
3_11_21_3,single_male,Plant_04,M187,silent,virgin,0,0,0,46,NA,0,0,0,F146,2,3.414213562,0.074222034,2,NA,NA
5_11_21_3,single_male,Plant_04,M229,silent,virgin,0,0,0,6,NA,0,0,0,F180,1,1.414213562,0.23570226,1,NA,NA
9_11_21_3,single_male,Plant_04,M207,silent,virgin,0,0,0,19,NA,0,0,0,F187,6,7.414213562,0.390221766,3.16227766,NA,NA
