exp_ids,maleid,tactic,FemaleID,mated,treatment,experiment
25_4_22_1,M345,call,F331,1,single_male,across
25_4_22_3,M346,call,F333,1,single_male,across
26_4_22_1,M348,call,F336,0,single_male,across
27_4_22_4,M354,call,F338,1,single_male,across
29_4_22_2,M358,call,F339,0,single_male,across
2_5_22_1,M363,call,F351,0,single_male,across
2_5_22_2,M366,call,F352,0,single_male,across
5_5_22_2,M375,call,F356,1,single_male,across
5_5_22_3,M373,call,F357,0,single_male,across
6_5_22_2,M384,call,F361,1,single_male,across
8_5_22_1,M386,call,F358,0,single_male,across
9_5_22_2,M382,call,F366,1,single_male,across
10_5_22_4,M393,call,F371,1,single_male,across
11_5_22_2,M399,call,F372,0,single_male,across
11_5_22_3,M401,call,F374,0,single_male,across
12_5_22_2,M404,call,F376,0,single_male,across
13_5_22_1,M408,call,F379,1,single_male,across
13_5_22_3,M409,call,F381,0,single_male,across
15_5_22_2,M418,call,F385,1,single_male,across
25_5_22_2,M442,call,F413,1,single_male,across
31_5_22_1,M448,call,F415,0,single_male,across
1_6_22_1,M451,call,F421,0,single_male,across
3_6_22_1,M455,call,F424,1,single_male,across
4_6_22_1,M457,call,F428,1,single_male,across
4_6_22_2,M462,call,F430,0,single_male,across
19_4_22_2,M325,silent,F319,0,single_male,across
19_4_22_3,M324,silent,F318,0,single_male,across
20_4_22_1,M327,silent,F321,0,single_male,across
20_4_22_3,M329,silent,F324,0,single_male,across
24_4_22_3,M342,silent,F330,0,single_male,across
25_4_22_2,M347,silent,F332,0,single_male,across
26_4_22_2,M351,silent,F335,0,single_male,across
27_4_22_1,M350,silent,F334,0,single_male,across
27_4_22_3,M349,silent,F343,0,single_male,across
6_5_22_3,M378,silent,F360,0,single_male,across
9_5_22_3,M392,silent,F365,0,single_male,across
10_5_22_1,M395,silent,F364,0,single_male,across
10_5_22_3,M374,silent,F369,0,single_male,across
12_5_22_3,M406,silent,F377,0,single_male,across
17_5_22_2,M426,silent,F384,0,single_male,across
17_5_22_3,M427,silent,F391,0,single_male,across
18_5_22_2,M432,silent,F392,0,single_male,across
24_5_22_1,M440,silent,F411,0,single_male,across
24_5_22_3,M437,silent,F409,0,single_male,across
30_5_22_1,M447,silent,F417,0,single_male,across
30_5_22_2,M446,silent,F416,0,single_male,across
31_5_22_2,M449,silent,F418,0,single_male,across
1_6_22_1,M452,silent,F423,0,single_male,across
3_6_22_2,M456,silent,F426,1,single_male,across
3_6_22_3,M454,silent,F425,0,single_male,across
4_6_22_3,M461,silent,F433,0,single_male,across
